,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO,ISO_num
0,18,Southern Africa,2000,Percentage of individuals using the internet,4.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF,710
1,18,Southern Africa,2005,Percentage of individuals using the internet,7.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF,710
2,18,Southern Africa,2010,Percentage of individuals using the internet,22.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF,710
3,18,Southern Africa,2015,Percentage of individuals using the internet,49.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF,710
4,18,Southern Africa,2019,Percentage of individuals using the internet,67.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF,710
5,18,Southern Africa,2020,Percentage of individuals using the internet,68.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF,710
6,18,Southern Africa,2021,Percentage of individuals using the internet,70.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF,710
7,57,Micronesia,2000,Percentage of individuals using the internet,3.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM,583
8,57,Micronesia,2005,Percentage of individuals using the internet,11.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM,583
9,57,Micronesia,2010,Percentage of individuals using the internet,20.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM,583
10,57,Micronesia,2015,Percentage of individuals using the internet,31.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM,583
11,57,Micronesia,2019,Percentage of individuals using the internet,39.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM,583
12,57,Micronesia,2020,Percentage of individuals using the internet,40.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM,583
13,57,Micronesia,2021,Percentage of individuals using the internet,40.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM,583
14,4,Afghanistan,2005,Percentage of individuals using the internet,1.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AFG,004
15,4,Afghanistan,2010,Percentage of individuals using the internet,4.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AFG,004
16,4,Afghanistan,2015,Percentage of individuals using the internet,8.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AFG,004
17,4,Afghanistan,2019,Percentage of individuals using the internet,17.6,Estimate.;Population aged 18 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AFG,004
18,4,Afghanistan,2020,Percentage of individuals using the internet,18.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AFG,004
19,8,Albania,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB,008
20,8,Albania,2005,Percentage of individuals using the internet,6.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB,008
21,8,Albania,2010,Percentage of individuals using the internet,45.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB,008
22,8,Albania,2015,Percentage of individuals using the internet,56.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB,008
23,8,Albania,2019,Percentage of individuals using the internet,68.6,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB,008
24,8,Albania,2020,Percentage of individuals using the internet,72.2,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB,008
25,8,Albania,2021,Percentage of individuals using the internet,79.3,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB,008
26,12,Algeria,2000,Percentage of individuals using the internet,0.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DZA,012
27,12,Algeria,2005,Percentage of individuals using the internet,5.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DZA,012
28,12,Algeria,2010,Percentage of individuals using the internet,12.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DZA,012
29,12,Algeria,2015,Percentage of individuals using the internet,38.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DZA,012
