,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO
0,1,"Total, all countries or areas",2000,Percentage of individuals using the internet,5.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
1,1,"Total, all countries or areas",2005,Percentage of individuals using the internet,15.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
2,1,"Total, all countries or areas",2010,Percentage of individuals using the internet,28.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
3,1,"Total, all countries or areas",2015,Percentage of individuals using the internet,40.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
4,1,"Total, all countries or areas",2019,Percentage of individuals using the internet,53.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
5,1,"Total, all countries or areas",2020,Percentage of individuals using the internet,59.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
6,1,"Total, all countries or areas",2021,Percentage of individuals using the internet,62.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
7,15,Northern Africa,2000,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
8,15,Northern Africa,2005,Percentage of individuals using the internet,9.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
9,15,Northern Africa,2010,Percentage of individuals using the internet,23.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
10,15,Northern Africa,2015,Percentage of individuals using the internet,36.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
11,15,Northern Africa,2019,Percentage of individuals using the internet,56.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
12,15,Northern Africa,2020,Percentage of individuals using the internet,64.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
13,15,Northern Africa,2021,Percentage of individuals using the internet,70.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
14,202,Sub-Saharan Africa,2000,Percentage of individuals using the internet,0.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
15,202,Sub-Saharan Africa,2005,Percentage of individuals using the internet,2.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
16,202,Sub-Saharan Africa,2010,Percentage of individuals using the internet,6.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
17,202,Sub-Saharan Africa,2015,Percentage of individuals using the internet,16.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
18,202,Sub-Saharan Africa,2019,Percentage of individuals using the internet,27.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
19,202,Sub-Saharan Africa,2020,Percentage of individuals using the internet,31.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
20,202,Sub-Saharan Africa,2021,Percentage of individuals using the internet,34.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
21,14,Eastern Africa,2000,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
22,14,Eastern Africa,2005,Percentage of individuals using the internet,1.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
23,14,Eastern Africa,2010,Percentage of individuals using the internet,3.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
24,14,Eastern Africa,2015,Percentage of individuals using the internet,10.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
25,14,Eastern Africa,2019,Percentage of individuals using the internet,15.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
26,14,Eastern Africa,2020,Percentage of individuals using the internet,17.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
27,14,Eastern Africa,2021,Percentage of individuals using the internet,20.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
28,17,Middle Africa,2000,Percentage of individuals using the internet,0.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
29,17,Middle Africa,2005,Percentage of individuals using the internet,0.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
30,17,Middle Africa,2010,Percentage of individuals using the internet,2.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
31,17,Middle Africa,2015,Percentage of individuals using the internet,10.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
32,17,Middle Africa,2019,Percentage of individuals using the internet,22.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
33,17,Middle Africa,2020,Percentage of individuals using the internet,27.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
34,17,Middle Africa,2021,Percentage of individuals using the internet,27.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
35,18,Southern Africa,2000,Percentage of individuals using the internet,4.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF
