,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO,ISO_num
5,18,Southern Africa,2020,Percentage of individuals using the internet,68.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF,710
12,57,Micronesia,2020,Percentage of individuals using the internet,40.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FSM,583
18,4,Afghanistan,2020,Percentage of individuals using the internet,18.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AFG,004
24,8,Albania,2020,Percentage of individuals using the internet,72.2,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ALB,008
31,12,Algeria,2020,Percentage of individuals using the internet,64.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DZA,012
38,20,Andorra,2020,Percentage of individuals using the internet,93.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AND,020
45,24,Angola,2020,Percentage of individuals using the internet,32.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO,024
56,28,Antigua and Barbuda,2020,Percentage of individuals using the internet,95.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ATG,028
63,32,Argentina,2020,Percentage of individuals using the internet,85.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARG,032
70,51,Armenia,2020,Percentage of individuals using the internet,76.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARM,051
81,36,Australia,2020,Percentage of individuals using the internet,96.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUS,036
88,40,Austria,2020,Percentage of individuals using the internet,87.5,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUT,040
95,31,Azerbaijan,2020,Percentage of individuals using the internet,84.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AZE,031
102,44,Bahamas,2020,Percentage of individuals using the internet,92.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHS,044
109,48,Bahrain,2020,Percentage of individuals using the internet,99.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHR,048
116,50,Bangladesh,2020,Percentage of individuals using the internet,32.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BGD,050
123,52,Barbados,2020,Percentage of individuals using the internet,82.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BRB,052
129,112,Belarus,2020,Percentage of individuals using the internet,85.1,Users in the last 12 months.;Population aged 6 to 72 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLR,112
136,56,Belgium,2020,Percentage of individuals using the internet,91.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEL,056
143,84,Belize,2020,Percentage of individuals using the internet,59.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLZ,084
150,204,Benin,2020,Percentage of individuals using the internet,28.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEN,204
161,64,Bhutan,2020,Percentage of individuals using the internet,79.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BTN,064
168,68,Bolivia (Plurin. State of),2020,Percentage of individuals using the internet,59.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BOL,068
175,70,Bosnia and Herzegovina,2020,Percentage of individuals using the internet,73.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BIH,070
182,72,Botswana,2020,Percentage of individuals using the internet,72.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BWA,072
189,76,Brazil,2020,Percentage of individuals using the internet,81.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BRA,076
197,96,Brunei Darussalam,2020,Percentage of individuals using the internet,96.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BRN,096
204,100,Bulgaria,2020,Percentage of individuals using the internet,70.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BGR,100
211,854,Burkina Faso,2020,Percentage of individuals using the internet,13.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BFA,854
218,108,Burundi,2020,Percentage of individuals using the internet,3.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BDI,108
225,132,Cabo Verde,2020,Percentage of individuals using the internet,63.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CPV,132
232,116,Cambodia,2020,Percentage of individuals using the internet,53.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",KHM,116
239,120,Cameroon,2020,Percentage of individuals using the internet,45.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CMR,120
246,124,Canada,2020,Percentage of individuals using the internet,92.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAN,124
256,140,Central African Republic,2020,Percentage of individuals using the internet,8.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAF,140
263,148,Chad,2020,Percentage of individuals using the internet,11.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TCD,148
270,152,Chile,2020,Percentage of individuals using the internet,86.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHL,152
277,156,China,2020,Percentage of individuals using the internet,70.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHN,156
284,344,"China, Hong Kong SAR",2020,Percentage of individuals using the internet,92.4,Population aged 10 years and over.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HKG,344
291,446,"China, Macao SAR",2020,Percentage of individuals using the internet,88.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MAC,446
298,170,Colombia,2020,Percentage of individuals using the internet,70.9,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COL,170
305,174,Comoros,2020,Percentage of individuals using the internet,21.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COM,174
320,188,Costa Rica,2020,Percentage of individuals using the internet,80.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CRI,188
327,384,Côte dIvoire,2020,Percentage of individuals using the internet,41.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CIV,384
334,191,Croatia,2020,Percentage of individuals using the internet,78.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HRV,191
341,192,Cuba,2020,Percentage of individuals using the internet,71.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CUB,192
348,196,Cyprus,2020,Percentage of individuals using the internet,90.8,Use of the internet during the first quarter of the year.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CYP,196
355,203,Czechia,2020,Percentage of individuals using the internet,81.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CZE,203
365,180,Dem. Rep. of the Congo,2020,Percentage of individuals using the internet,22.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COD,180
372,208,Denmark,2020,Percentage of individuals using the internet,96.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DNK,208
379,262,Djibouti,2020,Percentage of individuals using the internet,61.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DJI,262
386,212,Dominica,2020,Percentage of individuals using the internet,77.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DMA,212
393,214,Dominican Republic,2020,Percentage of individuals using the internet,82.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DOM,214
400,218,Ecuador,2020,Percentage of individuals using the internet,70.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ECU,218
407,818,Egypt,2020,Percentage of individuals using the internet,71.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",EGY,818
414,222,El Salvador,2020,Percentage of individuals using the internet,54.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SLV,222
421,226,Equatorial Guinea,2020,Percentage of individuals using the internet,53.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",GNQ,226
427,232,Eritrea,2020,Percentage of individuals using the internet,14.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ERI,232
434,233,Estonia,2020,Percentage of individuals using the internet,89.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",EST,233
441,748,Eswatini,2020,Percentage of individuals using the internet,56.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SWZ,748
448,231,Ethiopia,2020,Percentage of individuals using the internet,16.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ETH,231
463,242,Fiji,2020,Percentage of individuals using the internet,84.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FJI,242
470,246,Finland,2020,Percentage of individuals using the internet,92.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",FIN,246
